Date,River_Name,Water_Level_Meters,Danger_Mark_Meters
2005-01-01,Cauvery,2.16,12.0
2005-01-01,Palar,1.81,12.0
2005-01-01,Adyar,3.19,8.0
2005-01-01,Cooum,2.47,8.0
2005-01-01,Thamirabarani,2.92,12.0
2005-01-02,Cauvery,2.46,12.0
2005-01-02,Palar,3.01,12.0
2005-01-02,Adyar,2.18,8.0
2005-01-02,Cooum,1.69,8.0
2005-01-02,Thamirabarani,3.01,12.0
2005-01-03,Cauvery,2.43,12.0
2005-01-03,Palar,2.78,12.0
2005-01-03,Adyar,1.77,8.0
2005-01-03,Cooum,2.01,8.0
2005-01-03,Thamirabarani,2.67,12.0
2005-01-04,Cauvery,1.82,12.0
2005-01-04,Palar,2.61,12.0
2005-01-04,Adyar,2.4,8.0
2005-01-04,Cooum,2.34,8.0
2005-01-04,Thamirabarani,2.73,12.0
2005-01-05,Cauvery,3.08,12.0
2005-01-05,Palar,1.57,12.0
2005-01-05,Adyar,1.91,8.0
2005-01-05,Cooum,2.75,8.0
2005-01-05,Thamirabarani,2.66,12.0
2005-01-06,Cauvery,2.33,12.0
2005-01-06,Palar,2.8,12.0
2005-01-06,Adyar,2.36,8.0
2005-01-06,Cooum,3.13,8.0
2005-01-06,Thamirabarani,2.94,12.0
2005-01-07,Cauvery,2.47,12.0
2005-01-07,Palar,2.86,12.0
2005-01-07,Adyar,2.04,8.0
2005-01-07,Cooum,1.52,8.0
2005-01-07,Thamirabarani,2.59,12.0
2005-01-08,Cauvery,2.42,12.0
2005-01-08,Palar,3.01,12.0
2005-01-08,Adyar,1.68,8.0
2005-01-08,Cooum,3.02,8.0
2005-01-08,Thamirabarani,1.83,12.0
2005-01-09,Cauvery,1.97,12.0
2005-01-09,Palar,1.7,12.0
2005-01-09,Adyar,2.31,8.0
2005-01-09,Cooum,2.5,8.0
2005-01-09,Thamirabarani,2.09,12.0
2005-01-10,Cauvery,1.53,12.0
2005-01-10,Palar,2.6,12.0
2005-01-10,Adyar,2.13,8.0
2005-01-10,Cooum,2.05,8.0
2005-01-10,Thamirabarani,2.96,12.0
2005-01-11,Cauvery,2.98,12.0
2005-01-11,Palar,1.92,12.0
2005-01-11,Adyar,1.72,8.0
2005-01-11,Cooum,3.0,8.0
2005-01-11,Thamirabarani,1.59,12.0
2005-01-12,Cauvery,1.68,12.0
2005-01-12,Palar,2.73,12.0
2005-01-12,Adyar,2.12,8.0
2005-01-12,Cooum,2.53,8.0
2005-01-12,Thamirabarani,2.76,12.0
2005-01-13,Cauvery,2.91,12.0
2005-01-13,Palar,2.3,12.0
2005-01-13,Adyar,2.23,8.0
2005-01-13,Cooum,3.19,8.0
2005-01-13,Thamirabarani,2.07,12.0
2005-01-14,Cauvery,2.32,12.0
2005-01-14,Palar,2.45,12.0
2005-01-14,Adyar,2.16,8.0
2005-01-14,Cooum,2.07,8.0
2005-01-14,Thamirabarani,1.92,12.0
2005-01-15,Cauvery,2.93,12.0
2005-01-15,Palar,1.8,12.0
2005-01-15,Adyar,3.08,8.0
2005-01-15,Cooum,3.16,8.0
2005-01-15,Thamirabarani,2.56,12.0
2005-01-16,Cauvery,2.69,12.0
2005-01-16,Palar,2.41,12.0
2005-01-16,Adyar,1.9,8.0
2005-01-16,Cooum,2.92,8.0
2005-01-16,Thamirabarani,2.09,12.0
2005-01-17,Cauvery,1.5,12.0
2005-01-17,Palar,1.83,12.0
2005-01-17,Adyar,2.34,8.0
2005-01-17,Cooum,1.51,8.0
2005-01-17,Thamirabarani,2.53,12.0
2005-01-18,Cauvery,2.85,12.0
2005-01-18,Palar,2.15,12.0
2005-01-18,Adyar,2.46,8.0
2005-01-18,Cooum,1.81,8.0
2005-01-18,Thamirabarani,2.2,12.0
2005-01-19,Cauvery,1.98,12.0
2005-01-19,Palar,3.03,12.0
2005-01-19,Adyar,1.55,8.0
2005-01-19,Cooum,3.17,8.0
2005-01-19,Thamirabarani,1.92,12.0
2005-01-20,Cauvery,2.69,12.0
2005-01-20,Palar,1.66,12.0
2005-01-20,Adyar,2.61,8.0
2005-01-20,Cooum,2.31,8.0
2005-01-20,Thamirabarani,2.78,12.0
2005-01-21,Cauvery,2.65,12.0
2005-01-21,Palar,1.6,12.0
2005-01-21,Adyar,2.59,8.0
2005-01-21,Cooum,1.67,8.0
2005-01-21,Thamirabarani,3.11,12.0
2005-01-22,Cauvery,1.63,12.0
2005-01-22,Palar,2.3,12.0
2005-01-22,Adyar,1.81,8.0
2005-01-22,Cooum,2.69,8.0
2005-01-22,Thamirabarani,2.37,12.0
2005-01-23,Cauvery,1.88,12.0
2005-01-23,Palar,1.97,12.0
2005-01-23,Adyar,1.96,8.0
2005-01-23,Cooum,2.25,8.0
